OBJECTID,VERTICE,REGION,PROVINCIA,DISTRITO,LOCALIDAD,LATITUD,LONGITUD
28932,3924.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.273167760,-72.12260490
28933,3925.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.272813280,-72.12264151
28934,3926.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.272816200,-72.12271559
28935,3927.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.272870050,-72.12279703
28936,3928.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.272554280,-72.12251083
28937,3929.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.272574870,-72.12243422
28938,3930.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.272772560,-72.12238002
28939,3931.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.272652620,-72.12232016
28940,3932.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.271038620,-72.12442556
28941,3933.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.271000370,-72.12432136
28942,3934.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.271090230,-72.12247335
28943,3935.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.271029430,-72.12249780
28944,3936.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.270999720,-72.12244139
28945,3937.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.271570050,-72.12212520
28946,3938.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.271045490,-72.12227588
28947,3939.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.274861150,-72.12286945
28948,3940.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.274843710,-72.12270714
28949,3941.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.274915940,-72.12274237
28950,3942.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.274894180,-72.12282492
28951,3943.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.274785900,-72.12285982
